State,Abbreviation,Code,1990-not-hs,1990-hs,1990-bachelors,1990-advanced,2000-hs,2000-bachelors,2000-advanced,2006-hs,2006-bachelors,2006-advanced,2007-hs,2007-bachelors,2007-advanced,2008-hs,2008-bachelors,2008-advanced,2009-hs,2009-bachelors,2009-advanced
Alabama,AL,01,33.1,66.9,15.7,5.5,75.3,19.0,6.9,80.1,21.1,7.7,80.4,21.4,8.0,81.9,22.0,7.7,82.1,22.0,7.7
Alaska,AK,02,13.4,86.6,23.0,8.0,88.3,24.7,8.6,89.7,26.9,9.5,90.5,26.0,9.9,91.6,27.3,9.7,91.4,26.6,9.0
Arizona,AZ,04,21.3,78.7,20.3,7.0,81.0,23.5,8.4,83.8,25.5,9.2,83.5,25.3,9.2,83.8,25.1,9.2,84.2,25.6,9.3
Arkansas,AR,05,33.7,66.3,13.3,4.5,75.3,16.7,5.7,80.5,18.2,6.2,81.1,19.3,6.5,82.0,18.8,6.3,82.4,18.9,6.1
California,CA,06,23.8,76.2,23.4,8.1,76.8,26.6,9.5,80.1,29.0,10.4,80.2,29.5,10.5,80.2,29.6,10.8,80.6,29.9,10.7
Colorado,CO,08,15.6,84.4,27.0,9.0,86.9,32.7,11.1,88.0,34.3,12.4,88.9,35.0,12.5,88.9,35.6,12.7,89.3,35.9,12.7
Connecticut,CT,09,20.8,79.2,27.2,11.0,84.0,31.4,13.3,88.0,33.7,14.4,88.0,34.7,15.4,88.6,35.6,15.2,88.6,35.6,15.5
Delaware,DE,10,22.5,77.5,21.4,7.7,82.6,25.0,9.4,85.5,27.0,10.5,87.4,26.1,10.4,87.2,27.5,10.8,87.4,28.7,11.4
District of Columbia,DC,11,26.9,73.1,33.3,17.2,77.8,39.1,21.0,84.3,45.9,25.4,85.7,47.5,26.0,85.8,48.2,26.7,87.1,48.5,28.0
Florida,FL,12,25.6,74.4,18.3,6.3,79.9,22.3,8.1,84.5,25.3,8.9,84.9,25.8,8.9,85.2,25.8,9.0,85.3,25.3,9.0
Georgia,GA,13,29.1,70.9,19.3,6.4,78.6,24.3,8.3,82.2,26.6,9.2,82.9,27.1,9.5,83.9,27.5,9.7,83.9,27.5,9.9
Hawaii,HI,15,19.9,80.1,22.9,7.1,84.6,26.2,8.4,89.0,29.7,9.8,89.4,29.2,9.9,90.3,29.1,9.9,90.4,29.6,9.9
Idaho,ID,16,20.3,79.7,17.7,5.3,84.7,21.7,6.8,87.3,23.3,7.1,88.4,24.5,7.6,87.9,24.0,7.4,88.4,23.9,7.5
Illinois,IL,17,23.8,76.2,21.0,7.5,81.4,26.1,9.5,85.0,28.9,10.8,85.7,29.5,11.0,85.9,29.9,11.2,86.4,30.6,11.7
Indiana,IN,18,24.4,75.6,15.6,6.4,82.1,19.4,7.2,85.2,21.7,8.0,85.8,22.1,7.9,86.2,22.9,8.1,86.6,22.5,8.1
Iowa,IA,19,19.9,80.1,16.9,5.2,86.1,21.2,6.5,88.9,24.0,7.4,89.6,24.3,7.5,90.3,24.3,7.3,90.5,25.1,7.4
Kansas,KS,20,18.7,81.3,21.1,7.0,86.0,25.8,8.7,88.5,28.6,9.8,89.1,28.8,9.8,89.5,29.6,10.1,89.7,29.5,10.2
Kentucky,KY,21,35.4,64.6,13.6,5.5,74.1,17.1,6.9,79.6,20.0,8.2,80.1,20.0,8.0,81.3,19.7,7.9,81.7,21.0,8.5
Louisiana,LA,22,31.7,68.3,16.1,5.6,74.8,18.7,6.5,79.4,20.3,6.8,79.9,20.4,6.6,81.2,20.3,6.5,82.2,21.4,6.9
Maine,ME,23,21.2,78.8,18.8,6.1,85.4,22.9,7.9,88.7,25.8,8.9,89.4,26.7,9.2,89.7,25.4,8.9,90.2,26.9,9.6
Maryland,MD,24,21.6,78.4,26.5,10.9,83.8,31.4,13.4,87.1,35.1,15.7,87.4,35.2,15.7,88.0,35.2,15.4,88.2,35.7,16.0
Massachusetts,MA,25,20.0,80.0,27.2,10.6,84.8,33.2,13.7,87.9,37.0,15.6,88.4,37.9,16.0,88.7,38.1,16.4,89.0,38.2,16.4
Michigan,MI,26,23.2,76.8,17.4,6.4,83.4,21.8,8.1,87.2,24.5,9.2,87.4,24.7,9.5,88.1,24.7,9.4,87.9,24.6,9.4
Minnesota,MN,27,17.6,82.4,21.8,6.3,87.9,27.4,8.3,90.7,30.4,9.6,91.0,31.0,10.0,91.6,31.5,10.0,91.5,31.5,10.3
Mississippi,MS,28,35.7,64.3,14.7,5.1,72.9,16.9,5.8,77.9,18.8,6.1,78.5,18.9,6.4,79.9,19.4,6.8,80.4,19.6,7.1
Missouri,MO,29,26.1,73.9,17.8,6.1,81.3,21.6,7.6,84.8,24.3,8.7,85.6,24.5,8.9,86.5,25.0,9.1,86.8,25.2,9.5
Montana,MT,30,19.0,81.0,19.8,5.7,87.2,24.4,7.2,90.1,27.4,8.4,90.0,27.0,8.6,90.9,27.1,8.4,90.8,27.4,8.3
Nebraska,NE,31,18.2,81.8,18.9,5.9,86.6,23.7,7.3,89.5,26.9,8.4,89.6,27.5,8.8,90.1,27.1,8.6,89.8,27.4,8.8
Nevada,NV,32,21.2,78.8,15.3,5.2,80.7,18.2,6.1,83.9,20.8,7.2,83.7,21.8,7.5,83.5,21.9,7.0,83.9,21.8,7.6
New Hampshire,NH,33,17.8,82.2,24.4,7.9,87.4,28.7,10.0,89.9,31.9,11.2,90.5,32.5,11.5,90.9,33.3,12.0,91.3,32.0,11.2
